Name,URL,Image_URL
Bangkok Dental Care,https://hdmall.co.th/bangkok-dental-care,https://static.hdmall.co.th/184x184/webp/system/brands/logo/997/original/Bangkok_Dental_Care.jpeg
Bangkok Eye Hospital,https://hdmall.co.th/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B8%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2487/original/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B8%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E.jpg
Bangkok Genomics Innovation,https://hdmall.co.th/bangkok-genomics-innovation,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1854/original/bangkok-genomins-innovation.jpg
Bangkok New Smile Dental Clinic,https://hdmall.co.th/bangkok-new-smile-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2185/original/Bangkok_New_Smile_Dental_Clinic.jpg
Bangkok Sexual Health Center,https://hdmall.co.th/bangkok-sexual-health-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2320/original/Bangkok_Sexual_Health_Center.jpg
Bangkok Sleep Center,https://hdmall.co.th/bangkok-sleep-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1960/original/bangkok-sleep-center.jpg
Bangkok Wellness Medical Clinic,https://hdmall.co.th/bangkok-wellness-medical-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1698/original/bangkok-wellness-medical-clinic.jpg
Bangmod Aesthetic Hospital,https://hdmall.co.th/bangmod-aesthetic-hospital,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2458/original/bangmod-aesthetic-hospital.jpg
Be1Clinic,https://hdmall.co.th/be1clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2365/original/Logo_Be1Clinic.jpg
Beauty Bloom Nail and More,https://hdmall.co.th/beauty-bloom-nail-and-more,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1473/original/beauty-bloom-nail-and-more.jpg
Beauty Viva Clinic,https://hdmall.co.th/beauty-viva-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1777/original/Beauty_Viva_Clinic.jpeg
Beforedent,https://hdmall.co.th/beforedent,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1468/original/beforedent_%281%29.jpg
Befriends Clinic,https://hdmall.co.th/befriends-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2374/original/Befriends_Clinic.jpeg
Begift Clinic,https://hdmall.co.th/begift-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1393/original/Begift_Clinic.jpg
Beglam Clinic,https://hdmall.co.th/beglam-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2137/original/Beglam_Clinic....jpg
Bellalin Clinic,https://hdmall.co.th/bellalin-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1195/original/Bellalin_Clinic.jpg
Bellina Clinic,https://hdmall.co.th/bellina-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2460/original/Bellina_Clinic.png
Beproud Clinic,https://hdmall.co.th/beproud-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2164/original/Beproud_Clinic.jpg
Better Me Clinic by Dr. Chanya,https://hdmall.co.th/chanya-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2030/original/Better_Me_Clinic_by_Dr._Chanya.jpg
Beyond IVF by Meko,https://hdmall.co.th/meko-ivf,https://static.hdmall.co.th/184x184/webp/system/brands/logo/868/original/meko-ivf.jpg
Beyond Smile Dental Clinic,https://hdmall.co.th/beyond-smile-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1691/original/beyond-smile-dental-clinic.jpg
Billion Care Clinic,https://hdmall.co.th/billion-care-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1335/original/billion-care-clinic_%281%29.jpg
Biomed Microbiome DNA,https://hdmall.co.th/biomed-microbiome-dna,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1490/original/biomed-microbiome-dna.jpg
Biosky Phuket Clinic,https://hdmall.co.th/biosky-phuket-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1182/original/biosky-phuket-clinic.png
Bless Clinic สุพรรณบุรี,https://hdmall.co.th/bless-clinic-%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1316/original/Bless_Clinic_%E0%B8%AA%E0%B8%B8%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5.jpeg
Bliss Dental Clinic,https://hdmall.co.th/bliss-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2255/original/Bliss_Dental_Clinic.jpg
Body Adjust Wellness,https://hdmall.co.th/chirovedic-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1057/original/chirovedic-clinic.jpg
BodyConscious at Y Wellness,https://hdmall.co.th/bodyconscious-at-y-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1362/original/BodyConscious_at_Y_Wellness.jpg
BodyLab Pilates,https://hdmall.co.th/bodylab-pilates,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2321/original/bodylab-pilates.jpg
Boutique Clinic (บูติค คลินิก),https://hdmall.co.th/boutique-clinic-(%E0%B8%9A%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%84-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2383/original/Boutique_Clinic_%28%E0%B8%9A%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%84_%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%29.jpg
Brain Rehab Clinic,https://hdmall.co.th/brain-rehab-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1007/original/brain-rehab-clinic.png
CB Medical and Lab Center,https://hdmall.co.th/cb-medical-and-lab-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2225/original/CB_Medical_and_Lab_Center.jpeg
CHALYN CLINIC,https://hdmall.co.th/chalyn-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2380/original/CHALYN_CLINIC.jpg
CMC Wellness,https://hdmall.co.th/cmc-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2497/original/CMC_Wellness.png
CSDC,https://hdmall.co.th/csdc,https://static.hdmall.co.th/184x184/webp/system/brands/logo/963/original/csdc-new.jpg
Calm Clinic,https://hdmall.co.th/calm-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2423/original/calm-clinic.jpg
Cat and Dog Friendly,https://hdmall.co.th/cat-and-dog-friendly,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1850/original/cat-and-dog-friendly.jpg
Central Pattaya Dental Center,https://hdmall.co.th/central-pattaya-dental-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1137/original/central-pattaya-dental-center.png
Century Care Center,https://hdmall.co.th/century-care-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2129/original/Century_Care_Center.jpg
Ceyla Wellness,https://hdmall.co.th/ceyla-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2289/original/Ceyla_Wellness.jpeg
Chana Clinic (ชาน่าคลินิก),https://hdmall.co.th/chana-clinic-(%E0%B8%8A%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2201/original/Chana_Clinic_%28%E0%B8%8A%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%29.jpg
Chanuñ Aesthetic & Wellness,https://hdmall.co.th/chanun-aesthetic-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1460/original/Logo_Chanun%CC%83_Aesthetic___Wellness.png
Charismma Clinic,https://hdmall.co.th/charismma-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1788/original/charismma-clinic.jpg
Charlotte Clinic,https://hdmall.co.th/charlotte-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1988/original/charlotte-clinic.jpg
Charmer Clinic,https://hdmall.co.th/charmer-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/973/original/S__3506279_%281%29.jpg
Charn Clinic (ชาญคลินิก),https://hdmall.co.th/charn-clinic-(%E0%B8%8A%E0%B8%B2%E0%B8%8D%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2314/original/Charn_Clinic_%28%E0%B8%8A%E0%B8%B2%E0%B8%8D%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%29.png
CheckGo by Occicare,https://hdmall.co.th/checkgo-by-occicare,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2500/original/checkgo-by-occicare.jpg
Cher Clinic,https://hdmall.co.th/cher-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1356/original/cher-clinic.jpg
Chersery home เฌ้อสเซอรี่ โฮม,https://hdmall.co.th/chersery-home-%E0%B9%80%E0%B8%8C%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88-%E0%B9%82%E0%B8%AE%E0%B8%A1,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2336/original/Chersery_home_%E0%B9%80%E0%B8%8C%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88_%E0%B9%82%E0%B8%AE%E0%B8%A1.png
Chevanon Clinic,https://hdmall.co.th/chevanon-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1486/original/chevanon-clinic.jpg
Chiang Mai Wellness Clinic,https://hdmall.co.th/chiang-mai-wellness-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1804/original/chiang-mai-wellness-clinic.jpg
Chill Dent Dental Clinic,https://hdmall.co.th/chill-dent-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1099/original/chill-dent-dental-clinic.png
Chinglian TCM Clinic,https://hdmall.co.th/chinglian-tcm-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1671/original/Chinglian_TCM_Clinic.jpg
Chompoodang,https://hdmall.co.th/chompoodang,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1027/original/Chompoodang.jpg
Chrio Clinic,https://hdmall.co.th/chrio-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1423/original/Chrio_Clinic.jpeg
Cine clinic,https://hdmall.co.th/cine-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2389/original/Cine_Clinic.jpg
Cleo Dent Dental Clinic,https://hdmall.co.th/cleo-dent-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1042/original/cleo-dent-dental-clinic.png
Clinic Alynn,https://hdmall.co.th/clinic-alynn,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2249/original/Clinic_Alynn.jpg
Clinic Neo,https://hdmall.co.th/clinic-neo,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1286/original/clinic-neo.jpg
Clinical Laboratory Center,https://hdmall.co.th/clinical-laboratory-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2069/original/Clinical_Laboratory_Center.jpg
Cloud9 Clinic,https://hdmall.co.th/cloud9-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2473/original/Cloud9_Clinic.png
Cosmo Clinic,https://hdmall.co.th/cosmo-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1461/original/Cosmo_Clinic.jpg
Cozyhome Dental Clinic,https://hdmall.co.th/cozyhome-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2013/original/S__3710998.jpg
Create Smile Dental Clinic,https://hdmall.co.th/create-smile-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2254/original/create-smile-dental-clinic.jpg
Crystal Day Spa,https://hdmall.co.th/crystal-day-spa,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1690/original/crystal-day-spa.jpg
D+ONE Clinic (ดีวันคลินิก),https://hdmall.co.th/done-clinic-(%E0%B8%94%E0%B8%B5%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2165/original/new_D_ONE_Clinic_%28%E0%B8%94%E0%B8%B5%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%29.jpg
D4U Dental Clinic,https://hdmall.co.th/d4u-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2436/original/D4U_Dental_Clinic.jpg
DAC Clinic,https://hdmall.co.th/dac-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1395/original/dac-clinic.jpg
DC Dental Clinic Chiang Mai,https://hdmall.co.th/dc-dental-clinic-chiang-mai,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1669/original/dc-dental-clinic-chiang-mai.jpg
DERMISTIQUE,https://hdmall.co.th/dermistique,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2183/original/DERMISTIQUE.jpg
DGAN Physio Clinic,https://hdmall.co.th/dgan-physio-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1361/original/sssss.jpg
DK Clinic,https://hdmall.co.th/dk-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2420/original/DK_Clinic.jpg
DSK Clinic,https://hdmall.co.th/dsk-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1986/original/dsk-clinic.jpg
